SurfacePositionX,SurfacePositionY,SurfacePositionZ,HitPositionX,HitPositionY,HitPositionZ,PointOfClosestApproachX,PointOfClosestApproachY,PointOfClosestApproachZ,HitDirectionX,HitDirectionY,HitDirectionZ,eventID,volumeID
0,4979.35,6485.26,1310.51,4982.98,6482.48,1310.51,4982.98,6482.48,0.0824707,0.606535,0.790768,79,30
0,0,0,523.284,9.35684,-9.44689,523.284,9.35684,-9.44688,0.0596492,0.70922,0.70246,80,88
1.14659e-15,29.9,0,524.356,22.105,3.1796,524.553,24.4501,5.50239,0.0596324,0.709225,0.702455,80,88
-1.45123e-15,44.85,25.8942,526.276,44.9433,25.7999,526.276,44.9433,25.7999,0.0596205,0.709226,0.702456,80,88
-4.04905e-15,59.8,51.7883,527.999,65.4366,46.0973,527.999,65.4366,46.0973,0.0596272,0.709233,0.702448,80,88
-2.90246e-15,89.7,51.7883,529.122,78.7944,59.3272,529.268,80.5305,61.0467,0.0596196,0.709243,0.702438,80,88
-5.50029e-15,104.65,77.6825,530.906,100.028,80.3567,530.99,101.024,81.3434,0.0595885,0.709259,0.702425,80,88
-3.38622e-14,418.6,407.582,558.169,424.466,401.659,558.169,424.466,401.659,0.0595913,0.709272,0.702412,80,88
-3.27156e-14,448.5,407.582,559.437,439.562,416.608,559.437,439.562,416.608,0.0595593,0.709274,0.702412,80,88
-3.53134e-14,463.45,433.477,561.176,460.275,437.121,561.157,460.056,436.904,0.0595475,0.709271,0.702416,80,88
-3.79112e-14,478.4,459.371,562.878,480.55,457.2,562.878,480.55,457.2,0.0595547,0.709282,0.702405,80,88
-4.0509e-14,493.35,485.265,564.599,501.044,477.496,564.599,501.044,477.496,0.0595617,0.709271,0.702415,80,88
-3.93624e-14,523.25,485.265,565.822,515.611,491.921,565.867,516.139,492.445,0.0595493,0.709273,0.702414,80,88
1.30828e-13,3035.35,3000,777.394,3039.76,2991.73,777.553,3041.67,2993.62,0.0592605,0.709274,0.702438,80,89
1.31974e-13,3065.25,3000,778.766,3056.18,3008,778.814,3056.76,3008.57,0.0592388,0.70926,0.702454,80,89
1.29377e-13,3080.2,3025.89,780.526,3077.25,3028.87,780.526,3077.25,3028.87,0.0592443,0.709265,0.702448,80,89
1.26779e-13,3095.15,3051.79,782.162,3096.84,3048.27,782.238,3097.75,3049.16,0.0592269,0.709274,0.702441,80,89
1.24181e-13,3110.1,3077.68,784.199,3121.23,3072.42,783.949,3118.24,3069.46,0.0592454,0.709271,0.702442,80,89
1.25327e-13,3140,3077.68,784.971,3130.48,3081.58,785.21,3133.34,3084.41,0.059227,0.709265,0.70245,80,89
9.69656e-14,3453.95,3407.58,812.388,3458.83,3406.78,812.216,3456.77,3404.74,0.0592347,0.709267,0.702447,80,89
9.43678e-14,3468.9,3433.48,813.927,3477.26,3425.03,813.927,3477.26,3425.03,0.0592555,0.709264,0.702448,80,89
6.44071e-13,6086.15,6000,1031.43,6081.77,6004.42,1031.43,6081.77,6004.42,0.0588801,0.709316,0.702428,80,100
6.41474e-13,6101.1,6025.89,1032.89,6099.39,6021.88,1033.13,6102.26,6024.72,0.0589079,0.709312,0.702428,80,100
6.38876e-13,6116.05,6051.79,1034.83,6122.76,6045.01,1034.83,6122.76,6045.01,0.058917,0.709313,0.702427,80,100
6.40022e-13,6145.95,6051.79,1036.09,6137.85,6059.96,1036.09,6137.85,6059.96,0.0589129,0.709324,0.702417,80,100
6.37425e-13,6160.9,6077.68,1037.79,6158.35,6080.26,1037.79,6158.35,6080.26,0.0588975,0.709318,0.702423,80,100
6.09063e-13,6474.85,6407.58,1064.65,6481.8,6400.57,1064.65,6481.8,6400.57,0.0589181,0.709307,0.702433,80,100
6.10209e-13,6504.75,6407.58,1066.01,6498.22,6416.84,1065.9,6496.89,6415.52,0.0589414,0.70929,0.702448,80,100
6.07611e-13,6519.7,6433.48,1067.61,6517.39,6435.81,1067.61,6517.39,6435.81,0.0589024,0.709262,0.70248,80,100
6.05014e-13,6534.65,6459.37,1069,6534.18,6452.44,1069.31,6537.88,6456.11,0.0589286,0.709259,0.702481,80,100
6.02416e-13,6549.6,6485.26,1071.01,6558.37,6476.41,1071.01,6558.37,6476.41,0.0589366,0.709254,0.702485,80,100
6.03562e-13,6579.5,6485.26,1072.27,6573.47,6491.36,1072.27,6573.47,6491.36,0.0589447,0.709243,0.702495,80,100
0,0,0,1030.74,-1.22482,0.548346,1030.74,-1.22482,0.548344,0.150298,0.403971,0.90234,81,116
4.54747e-13,14.95,25.8942,1035.38,11.2409,28.3925,1035.26,10.9284,27.6946,0.150305,0.403974,0.902338,81,116
0,29.9,51.7883,1039.39,22.0119,52.4511,1039.78,23.0817,54.8408,0.150293,0.403972,0.902341,81,116
4.54747e-13,44.85,77.6825,1044.3,35.235,81.9871,1044.3,35.235,81.9871,0.150292,0.403973,0.90234,81,116
